player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Gene Lake,,,,,Utah,1966,1,29.0,4.9,1.2,,39.6,,75.0,,,
Herb Lake,,,,,Wisconsin and Pitt,1983,2,14.0,0.4,,,28.6,,,,,
Jarrel Lake,Forward,80.0,203,,Cal State Fullerton,2007,1,4.0,3.2,1.8,0.0,71.4,,50.0,71.4,,0.1
Jeremy Lake,Guard,75.0,190,,Montana,1995,4,102.0,10.2,2.1,2.4,46.2,46.7,86.2,60.4,,
Jim Lake,,,,,Manhattan,1955,3,,,,,,,,,,
Josiah Lake,Guard,73.0,185,,Oregon State,2000,2,44.0,2.5,1.5,0.8,45.3,31.3,60.9,48.3,,0.9
Keynon Lake,Guard,74.0,188,,Chattanooga,1997,1,8.0,1.5,0.1,0.4,50.0,33.3,71.4,58.3,,0.2
Larry Lake,Center,75.0,190,,Texas,1968,3,68.0,5.9,3.1,,47.9,,70.9,,,
Mac Lake,Forward,75.0,181,Mid Carolina,Presbyterian,2014,3,21.0,0.7,0.7,0.5,33.3,25.0,100.0,40.0,9.8,0.1
Nick Lake,Guard,78.0,200,,Princeton,2010,3,66.0,3.2,1.7,0.4,42.6,35.5,76.3,53.8,,1.9
Sean Lake,Guard,,,,Utah State,1990,1,20.0,3.7,0.7,0.4,43.1,38.7,78.3,54.9,,
Steve Lake,Guard,74.0,188,,Arizona,1979,1,8.0,1.0,0.6,0.5,20.0,,100.0,,,
_ Lake,Guard,,,,Arizona,1978,1,8.0,0.8,0.5,0.4,14.3,,66.7,,,
Ron Laker,Guard,,,,Xavier,1976,4,,,,,,,,,,
DeMarques Lakes,Guard,77.0,196,,Jacksonville,1996,1,5.0,0.0,0.0,0.0,,0.0,,,,-0.1
Don Laketa,,,,,Wichita State,1954,1,30.0,6.2,4.9,,39.9,,64.1,,,
Parker Laketa,Forward,,,,Kansas State,1984,2,20.0,3.7,1.3,0.6,54.7,,,,,
Greg Lakey,Forward,81.0,206,,USC and Loyola Marymount,2002,4,108.0,7.9,4.2,0.8,49.4,30.0,77.4,49.7,,6.3
Russell Lakey,Guard,72.0,183,,Vanderbilt,2004,4,111.0,4.7,2.9,3.3,35.7,28.8,64.4,42.9,,4.5
Ron Lakin,,,,,DePaul,1958,2,42.0,11.2,2.5,,38.8,,70.1,,,
Larry Lakins,,,,,North Carolina State,1965,3,55.0,15.7,7.1,,54.0,,71.5,,,
Larry Lako,Guard,,,,West Virginia,1965,1,6.0,2.0,1.0,,37.5,,,,,
Ami Lakoju,Forward,80.0,265,St. Luke's School,UCSB,2017,3,28.0,2.9,2.6,0.2,56.9,,35.0,56.9,14.0,0.5
Maris Laksa,Forward,81.0,206,,Providence,2004,4,89.0,8.0,2.9,1.1,38.0,37.9,83.6,47.5,,5.1
Richard Laku,Forward,80.0,170,Sachse High School,McNeese State,2017,1,26.0,2.8,1.5,0.1,33.8,31.9,73.3,44.4,10.9,0.3
Silver Laku,Guard,74.0,188,,Western Michigan,2007,4,70.0,2.2,0.7,0.2,36.4,33.7,64.9,46.4,,0.7
Henry Lalane,Forward,79.0,201,,St. Francis (NY),2000,3,81.0,8.6,3.0,1.0,36.8,33.3,72.6,47.0,,3.1
Cady Lalanne,Center,73.0,253,Oak Ridge,UMass,2015,4,111.0,10.0,7.9,0.2,55.3,21.3,66.6,55.9,20.5,9.7
David Lalazarian,Forward,79.0,201,,Notre Dame and Pepperdine,2001,4,124.0,7.6,3.2,0.9,43.4,32.8,67.7,49.3,,7.1
Jonas Lalehzadeh,Guard,77.0,205,,UC-Irvine,2011,3,21.0,1.4,0.8,0.4,35.5,33.3,57.1,41.9,,0.2
Darin Lales,Center,81.0,206,,Indiana State,1989,1,20.0,2.4,2.2,0.3,50.0,,81.0,50.0,,
Kambi Laleye,Forward,81.0,206,,Buffalo,2010,4,75.0,1.1,1.5,0.4,38.7,0.0,36.1,38.7,,0.5
Srdjan Lalic,Forward,80.0,203,,Centenary (LA),2000,2,54.0,1.9,4.1,0.2,53.6,,54.9,53.6,,1.6
Bob Lalich,Forward,77.0,196,,Ohio,1971,1,23.0,15.0,8.4,,43.7,,76.0,,,
Todd Lalich,Guard,77.0,196,,Ohio,1972,1,26.0,12.7,5.2,,47.7,,78.6,,,
Todd Lalich,Forward,76.0,193,,Florida,1969,1,7.0,6.4,4.1,,30.9,,61.1,,,
Peter Lallas,Guard,74.0,188,,Stanford,1981,4,51.0,1.9,,0.7,36.0,,,,,
_ Lalley,Center,,,,Creighton,1948,1,,,,,,,,,,
Joe Lalli,,,,,George Washington,1967,3,64.0,13.4,2.3,,42.1,,78.6,,,
Bill Lally,Guard,72.0,183,,Drexel,2010,4,16.0,0.0,0.1,0.1,0.0,0.0,,0.0,,-0.2
Chris Lally,Guard,,,,Lehigh,1996,1,13.0,1.0,0.4,0.1,16.7,0.0,68.8,16.7,,0.0
Tony Lalor,Center,73.0,208,,Hartford,2005,1,18.0,1.8,2.2,0.4,48.4,,15.4,48.4,,0.4
Mike Lalpuis,Center,79.0,201,,St. Francis (NY),1981,1,9.0,1.4,0.6,,55.6,,75.0,,,
Boakai Lalugba,Forward,78.0,198,,Bucknell,2003,4,108.0,12.4,6.8,1.4,53.1,20.0,52.2,53.2,,12.2
Guy Lam,Forward,79.0,201,,Marquette,1972,3,47.0,1.3,1.0,0.1,42.6,,41.9,,,
Ken Lam,Forward,76.0,193,,St. Francis (NY),1972,1,26.0,23.3,7.9,,51.8,,62.0,,,
Pete LaMantia,Guard,73.0,185,,Princeton,1993,1,18.0,0.8,0.5,0.0,36.4,36.4,40.0,54.5,,
Pete Lamantia,,,,,St. John's (NY),1971,3,46.0,2.9,1.0,,45.0,,51.5,,,
