player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bo Zeigler,Forward-Guard,78.0,202,Community HS,South Florida,2017,3,91.0,22.4,5.0,3.6,1.1,0.6,0.9,1.6,53.1,5.9,41.8,53.2,10.7,2.0
Dave Zeigler,Forward,76.0,193,,Kent State,1983,2,43.0,,16.5,3.5,1.7,1.2,0.2,,47.6,,86.5,,,
Demitrius Zeigler,Guard,75.0,190,,Cornell,1995,1,17.0,,0.9,0.8,0.2,0.1,0.0,,22.2,16.7,16.7,25.9,,
Derrick Zeigler,Forward,77.0,196,,Cleveland State,1997,4,104.0,,7.4,4.7,2.4,1.2,0.2,,35.7,22.4,56.8,37.3,,
Ernie Zeigler,Forward,78.0,198,,Armstrong,1987,1,28.0,,5.7,3.9,0.7,0.6,0.3,1.5,34.9,,71.9,34.9,,
Kenny Zeigler,Forward,78.0,198,,Furman,2003,4,115.0,,7.6,6.3,0.7,0.5,0.5,,45.5,23.1,69.3,46.0,,8.3
Marcus Zeigler,Guard,61.0,180,,Kansas State,1992,2,52.0,,5.0,1.5,3.8,1.0,0.1,,37.5,35.8,72.4,47.7,,
Mitchell Zeigler,Forward,79.0,201,,San Jose State,1972,1,10.0,,3.3,1.5,0.1,,,,58.3,,50.0,,,
Omar Zeigler,Forward,78.0,198,,Central Michigan,1999,1,8.0,,2.0,2.1,0.2,0.3,0.0,,46.7,33.3,33.3,50.0,,0.1
Trey Zeigler,Guard,77.0,203,Mount Pleasant,"Central Michigan, Pitt and Texas Christian",2015,4,127.0,27.3,11.7,4.6,2.0,0.8,0.3,2.0,43.6,28.5,54.7,45.0,17.0,8.0
Nick Zeisloft,Guard,76.0,205,Lyons Township,Illinois State and Indiana,2016,4,128.0,19.8,6.3,2.2,0.8,0.3,0.1,0.4,42.3,40.6,83.8,59.9,13.1,8.0
Dick Zeitler,Guard,61.0,180,,Georgetown,1971,3,67.0,,3.8,1.0,,,,,40.3,,62.3,,,
Bill Zeits,Guard,75.0,190,,Niagara,1969,3,68.0,,4.8,1.8,,,,,41.0,,66.3,,,
Branimir Zeko,Center,80.0,203,,New Hampshire,2007,2,28.0,,1.5,1.6,0.1,0.1,0.1,,41.3,0.0,62.5,41.3,,-0.1
Ray Zelek,,,,,Cornell,1954,1,24.0,,10.3,10.7,,,,,33.6,,67.0,,,
