Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Cody Zeller,CHO,"$12,584,270 ","$13,528,090 ","$14,471,910 ","$15,415,730 ",,,1st Round Pick,"$56,000,000 "
Kemba Walker,CHO,"$12,000,000 ","$12,000,000 ",,,,,1st Round Pick,"$24,000,000 "
Jeremy Lamb,CHO,"$7,000,000 ","$7,488,372 ",,,,,Rookie scale extension,"$14,488,372 "
Malik Monk,CHO,"$2,904,480 ","$3,447,480 ","$4,028,400 ","$5,345,687 ",,,1st Round Pick,"$6,351,960 "
Frank Kaminsky,CHO,"$2,847,600 ","$3,627,842 ",,,,,1st round pick,"$2,847,600 "
Michael Carter-Williams,CHO,"$2,700,000 ",,,,,,Bi-annual Exception,"$2,700,000 "
Johnny O'Bryant,CHO,"$1,524,305 ",,,,,,Minimum Salary,"$1,524,305 "
Julyan Stone,CHO,"$1,524,305 ","$1,656,092 ",,,,,Minimum Salary,"$1,524,305 "
Treveon Graham,CHO,"$1,312,611 ",,,,,,Minimum Salary,
T.J. Williams,CHO,"$815,615 ",,,,,,Minimum Salary,
Isaiah Hicks,CHO,"$815,615 ",,,,,,Minimum Salary,
Dwayne Bacon,CHO,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Andre Drummond,DET,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$76,302,788 "
Tobias Harris,DET,"$16,000,000 ","$14,800,000 ",,,,,Bird Rights,"$30,800,000 "
Reggie Jackson,DET,"$16,000,000 ","$17,043,478 ","$18,086,956 ",,,,Bird Rights,"$51,130,434 "
Jon Leuer,DET,"$10,497,319 ","$10,002,681 ","$9,508,043 ",,,,Cap Space,"$30,008,043 "
Avery Bradley,DET,"$8,808,989 ",,,,,,Bird Rights,"$8,808,989 "
Boban Marjanovic,DET,"$7,000,000 ","$7,000,000 ",,,,,Cap Space,"$14,000,000 "
Langston Galloway,DET,"$6,666,667 ","$7,000,000 ","$7,333,333 ",,,,MLE,"$21,000,000 "
Ish Smith,DET,"$6,000,000 ","$6,000,000 ",,,,,Cap Space,"$12,000,000 "
Anthony Tolliver,DET,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Stanley Johnson,DET,"$3,097,800 ","$3,940,402 ",,,,,1st round pick,"$3,097,800 "
Luke Kennard,DET,"$2,759,280 ","$3,275,280 ","$3,827,160 ","$5,273,826 ",,,1st Round Pick,"$6,034,560 "
Reggie Bullock,DET,"$2,500,000 ","$2,500,000 ",,,,,Cap space,"$2,500,000 "
Henry Ellenson,DET,"$1,780,800 ","$1,857,480 ","$2,856,804 ",,,,1st Round pick,"$1,780,800 "
Eric Moreland,DET,"$1,739,333 ","$1,826,300 ","$1,913,267 ",,,,MLE,"$500,000 "
Landry Nnoko,DET,"$815,615 ",,,,,,Minimum Salary,
Josh Smith,DET,"$5,400,000 ","$5,400,000 ","$5,400,000 ",,,,,"$16,200,000 "
Michael Gbinije,DET,"$500,000 ",,,,,,,"$500,000 "
Aaron Gray,DET,"$452,059 ",,,,,,,"$452,059 "
