player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Rudy Macklin,Forward,79.0,205,,LSU,1980,4,123.0,16.9,10.4,,59.5,,67.4,,,
Vernon Macklin,Forward,81.0,206,,Georgetown and Florida,2011,4,136.0,7.3,3.7,0.7,61.0,0.0,45.5,61.0,,10.0
Zedric Macklin,Guard,77.0,196,,Murray State,1986,2,57.0,12.0,3.2,2.7,46.5,,77.7,,,
_ Macklin,,,,,Muhlenburg,1948,1,,,,,,,,,,
Mike Macknin,Forward,80.0,203,,Ohio State,1971,3,28.0,,1.6,,,,,,,
Johnny Macknowski,Forward,72.0,180,,Seton Hall,1948,1,,,,,,,,,,
Tom Macko,Center,80.0,203,,Fairfield,1980,2,41.0,2.2,2.1,0.2,49.3,,56.3,,,
Cedric Mackyeon,Forward,78.0,198,,Louisiana-Lafayette,1993,3,93.0,6.9,4.4,1.0,55.3,,63.7,55.3,,
Cedric Mackyeon,Forward,78.0,198,,Oklahoma State,1989,1,8.0,1.6,1.1,0.2,33.3,,50.0,33.3,,
Breck MacLaren,Forward,77.0,196,,UCSB,1968,1,26.0,8.3,5.3,,40.2,,73.4,,,
Ereck MacLaren,Forward,77.0,196,,UCSB,1967,1,18.0,5.7,3.1,,38.7,,72.1,,,
Andrew Maclay,Guard,,,,UMass,1999,4,33.0,,,,,,,,,
Don MacLean,Forward,73.0,235,,UCLA,1992,4,127.0,20.5,7.8,1.6,53.1,31.4,86.0,53.4,,
Iain MacLean,Guard,76.0,193,,Northern Arizona,1987,1,28.0,4.3,2.2,1.0,46.5,52.2,76.3,53.5,,
D.J. MacLeay,Forward,79.0,213,Reagan,Bucknell,2017,4,110.0,3.5,3.1,0.4,51.2,29.4,63.5,52.9,16.7,3.5
Bruce MacLeod,Forward,75.0,190,,Boston University,1972,1,13.0,1.4,0.5,,25.0,,100.0,,,
